Match,Name,Pos,Inning,Out,Runs,Balls,Fours,Sixes,S.R,Match_ID
India vs Sri Lanka,Wanindu Hasaranga de Silva,7,2,c Hooda b Umran Malik,9,8,1,0,112.50,T20I # 1986
India vs Sri Lanka,Chamika Karunaratne,8,2,lbw b Pandya,0,2,0,0,0.00,T20I # 1986
India vs Sri Lanka,Maheesh Theekshana,9,2, b Umran Malik,2,5,0,0,40.00,T20I # 1986
India vs Sri Lanka,Kasun Rajitha,10,2,not out ,9,4,2,0,225.00,T20I # 1986
India vs Sri Lanka,Dilshan Madushanka,11,2, b Arshdeep Singh,1,2,0,0,50.00,T20I # 1986
Ireland vs Zimbabwe,Andy Balbirnie,1,1,c Burl b Chatara,5,7,1,0,71.42,T20I # 1987
Ireland vs Zimbabwe,Ross Adair,2,1, b Ngarava,5,6,1,0,83.33,T20I # 1987
Ireland vs Zimbabwe,Stephen Doheny,3,1,c †Madande b Evans,15,13,2,0,115.38,T20I # 1987
Ireland vs Zimbabwe,Harry Tector,4,1, b Burl,5,16,0,0,31.25,T20I # 1987
Ireland vs Zimbabwe,Curtis Campher,5,1,c †Madande b Masakadza,20,20,2,0,100.00,T20I # 1987
Ireland vs Zimbabwe,George Dockrell,6,1, b Burl,9,8,0,1,112.50,T20I # 1987
Ireland vs Zimbabwe,Tyrone Kane,7,1,c Madhevere b Masakadza,9,11,1,0,81.81,T20I # 1987
Ireland vs Zimbabwe,Gareth Delany,8,1, b Ngarava,24,20,2,0,120.00,T20I # 1987
Ireland vs Zimbabwe,Mark Adair,9,1,c Ervine b Burl,2,5,0,0,40.00,T20I # 1987
Ireland vs Zimbabwe,Fionn Hand,10,1,not out ,9,4,2,0,225.00,T20I # 1987
Ireland vs Zimbabwe,Barry McCarthy,11,1,c Ervine b Chatara,8,6,1,0,133.33,T20I # 1987
Ireland vs Zimbabwe,Craig Ervine,1,2,c McCarthy b Tector,4,6,1,0,66.66,T20I # 1987
Ireland vs Zimbabwe,Tadiwanashe Marumani,2,2,lbw b MR Adair,4,2,1,0,200.00,T20I # 1987
Ireland vs Zimbabwe,Wessly Madhevere,3,2, b Tector,16,22,1,0,72.72,T20I # 1987
Ireland vs Zimbabwe,Gary Ballance,4,2,c †Doheny b MR Adair,30,29,2,1,103.44,T20I # 1987
Ireland vs Zimbabwe,Sean Williams,5,2,not out ,34,30,3,0,113.33,T20I # 1987
Ireland vs Zimbabwe,Ryan Burl,6,2,c Dockrell b McCarthy,8,9,1,0,88.88,T20I # 1987
Ireland vs Zimbabwe,Clive Madande,7,2,not out ,18,10,3,0,180.00,T20I # 1987
Zimbabwe vs Ireland,Tadiwanashe Marumani,1,1,c MR Adair b Tector,2,5,0,0,40.00,T20I # 1988
Zimbabwe vs Ireland,Innocent Kaia,2,1,run out (Campher),25,14,3,1,178.57,T20I # 1988
Zimbabwe vs Ireland,Craig Ervine,3,1,c Tector b Hume,42,40,4,0,105.00,T20I # 1988
Zimbabwe vs Ireland,Wessly Madhevere,4,1,c & b Delany,1,3,0,0,33.33,T20I # 1988
Zimbabwe vs Ireland,Sean Williams,5,1,lbw b Tector,19,15,1,1,126.66,T20I # 1988
Zimbabwe vs Ireland,Ryan Burl,6,1,c †Doheny b Hume,15,18,1,0,83.33,T20I # 1988
Zimbabwe vs Ireland,Clive Madande,7,1,run out (Hand/†Doheny),9,8,0,0,112.50,T20I # 1988
Zimbabwe vs Ireland,Brad Evans,8,1,c Tector b MR Adair,11,10,1,0,110.00,T20I # 1988
Zimbabwe vs Ireland,Wellington Masakadza,9,1,c Tector b Hume,4,5,0,0,80.00,T20I # 1988
Zimbabwe vs Ireland,Richard Ngarava,10,1,run out (Dockrell/Hume),0,0,0,0,-,T20I # 1988
Zimbabwe vs Ireland,Tendai Chatara,11,1,not out ,1,2,0,0,50.00,T20I # 1988
Zimbabwe vs Ireland,Andy Balbirnie,1,2,c Marumani b Burl,33,31,3,1,106.45,T20I # 1988
Zimbabwe vs Ireland,Ross Adair,2,2,c Madhevere b Ngarava,65,47,2,4,138.29,T20I # 1988
Zimbabwe vs Ireland,Stephen Doheny,3,2,c Masakadza b Burl,2,4,0,0,50.00,T20I # 1988
Zimbabwe vs Ireland,Harry Tector,4,2,c Burl b Chatara,26,21,2,1,123.80,T20I # 1988
Zimbabwe vs Ireland,George Dockrell,5,2,not out ,15,9,1,1,166.66,T20I # 1988
Zimbabwe vs Ireland,Curtis Campher,6,2,not out ,6,6,1,0,100.00,T20I # 1988
Ireland vs Zimbabwe,Andy Balbirnie,1,1, b Masakadza,9,11,1,0,81.81,T20I # 1989
Ireland vs Zimbabwe,Ross Adair,2,1,c Ervine b Madhevere,1,3,0,0,33.33,T20I # 1989
Ireland vs Zimbabwe,Stephen Doheny,3,1,c Masakadza b Chatara,2,4,0,0,50.00,T20I # 1989
Ireland vs Zimbabwe,Harry Tector,4,1, b Madhevere,47,38,3,0,123.68,T20I # 1989
Ireland vs Zimbabwe,Curtis Campher,5,1,c †Madande b Burl,27,28,2,0,96.42,T20I # 1989
Ireland vs Zimbabwe,George Dockrell,6,1,c Madhevere b Jongwe,23,17,1,0,135.29,T20I # 1989
Ireland vs Zimbabwe,Neil Rock,7,1,c Ervine b Burl,2,4,0,0,50.00,T20I # 1989
Ireland vs Zimbabwe,Mark Adair,8,1, b Chatara,14,10,1,0,140.00,T20I # 1989
Ireland vs Zimbabwe,Fionn Hand,9,1,not out ,0,2,0,0,0.00,T20I # 1989
Ireland vs Zimbabwe,Barry McCarthy,10,1,c Masakadza b Jongwe,6,2,0,1,300.00,T20I # 1989
Ireland vs Zimbabwe,Ben White,11,1,not out ,1,1,0,0,100.00,T20I # 1989
Ireland vs Zimbabwe,Tadiwanashe Marumani,1,2,c Balbirnie b McCarthy,5,11,0,0,45.45,T20I # 1989
